"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000457",518.42202383345,0.375228928032134,0.114038692328591,0.000154999342011021,0.00233270156712445
"ENSG00000002330",715.181275205174,-0.348749156659052,0.150782193921618,0.0028295828875062,0.0220296482602728
"ENSG00000002549",1542.39219783954,-0.426208605140314,0.100623459963543,2.93497925511572e-06,8.39963110630737e-05
"ENSG00000002822",653.789506639168,0.482856970247003,0.265353071829683,0.00497390912457083,0.0337096023956013
"ENSG00000003056",3432.40092070921,0.483955654005435,0.079462479745829,1.41162707982202e-10,1.2840465134727e-08
"ENSG00000003756",4581.54053581164,0.348153368229269,0.0726024839652109,3.02487353154031e-07,1.19489605137935e-05
"ENSG00000004399",1278.93334082506,0.466079118058378,0.140917127874412,0.000103901342532144,0.0016763679694448
"ENSG00000004777",592.335963372076,-0.619324250331839,0.494762911832469,0.00575433781047729,0.0377962516294738
"ENSG00000005073",600.800552364448,-0.282543465323183,0.0990906616001375,0.00106116276422544,0.0106610429829169
"ENSG00000005100",2857.03208817762,0.226042830451873,0.0654345786813414,0.000210147399184629,0.00298565394346578
"ENSG00000005102",37.2375717330208,-0.835841867249381,0.699033576027164,0.00442385914779878,0.0308643042036309
"ENSG00000005189",614.459687029636,0.557089404305441,0.174482834988993,0.000120649314406931,0.00189038754635272
"ENSG00000005249",1036.25010256813,-1.09925014609058,0.14106852868654,3.30199060222818e-16,8.2934175901934e-14
"ENSG00000005448",660.094434240518,-0.301588835895398,0.123206428063057,0.00281667610091683,0.0219847056707924
"ENSG00000005483",2349.65427490861,0.457681901248761,0.111184882893981,4.83498131163664e-06,0.000129765654724436
"ENSG00000005486",1068.1845332545,0.424188859677956,0.133650139030216,0.000191369906725625,0.00275245537639215
"ENSG00000005810",4426.18461431225,0.291858823351073,0.100225021798936,0.000854136609125805,0.00899462506781543
"ENSG00000005893",2391.17846472822,0.860233213321322,0.0912681873171427,3.30409112163187e-22,1.6353307469065e-19
"ENSG00000006015",472.786408876313,-0.506214997515119,0.14213812787322,3.27568440948429e-05,0.000645470927901658
"ENSG00000006327",331.448262855612,0.804951239010388,0.146701934924625,2.85602720273988e-09,1.89495816201541e-07
"ENSG00000006611",153.782045721441,2.37591502162977,0.578218070211419,2.11453027305494e-06,6.36553048926093e-05
"ENSG00000006638",68.1888865193778,-0.810724038422119,0.337661825828383,0.000699300918975118,0.00768637221718699
"ENSG00000006652",3814.61066844581,0.561653152357291,0.0814756159903565,5.39274834099087e-13,8.56124236624476e-11
"ENSG00000007168",5484.77426070705,-0.271260944465114,0.0994626527074319,0.00159141433000502,0.0144290519101964
"ENSG00000007541",903.848895465935,-1.14507281857755,0.162453257451449,8.76801723814118e-14,1.60378471829826e-11
"ENSG00000007968",1622.78748527473,-0.579651240273653,0.105742680247552,3.5271280520008e-09,2.29167995594863e-07
"ENSG00000008086",860.558909189172,-0.374820114315481,0.172472117898487,0.00349983159357565,0.0258718554359329
"ENSG00000008128",1026.95192726845,0.356338847675583,0.142034208149972,0.00189059897643599,0.0164248836218197
"ENSG00000008282",1660.99192628645,0.212125068333661,0.0917337309436074,0.0078730053968476,0.0476400340949843
"ENSG00000008294",8395.7287470775,0.211710229424319,0.0813555259966934,0.0037105544438984,0.0269841012022136
"ENSG00000008952",3736.59341981769,0.24881878190497,0.0719990568967835,0.000180735196914266,0.00262643514134134
"ENSG00000009413",2039.47573236912,0.289841828085036,0.12337806106397,0.00421726480573216,0.0298185429205297
"ENSG00000009694",114.886179836304,-0.205413875892144,0.410526242581481,0.00434668102892859,0.030502897562473
"ENSG00000010030",61.8399780066889,1.9616560935641,0.300630686424426,4.12551872555944e-12,5.34032531643956e-10
"ENSG00000010244",10743.8384324715,0.290638624341503,0.0872960517738455,0.000231422774708168,0.00322917284642542
"ENSG00000010318",292.352105350764,-0.384411177611681,0.156981780919433,0.00175583271776892,0.0155708298266063
"ENSG00000010361",1215.49040727524,-0.209321757079565,0.0876227257327042,0.00647764079759058,0.0412744185315617
"ENSG00000010404",2804.95944021034,-0.38471112277334,0.0869303280395882,1.48784927981699e-06,4.74195600014401e-05
"ENSG00000011021",1123.84300616799,0.28050745331089,0.0919061875292659,0.000591998520887489,0.0067462164363742
"ENSG00000011243",3154.39672670439,0.281965722559128,0.0800736062749689,0.000115355986050765,0.00183305999363766
"ENSG00000011295",2128.26154482794,0.222906186801429,0.0749787788436382,0.00112487127243753,0.0111283561273244
"ENSG00000011376",1967.94430166978,0.249422315643555,0.111051073929383,0.00716236886221665,0.044442604429713
"ENSG00000011405",3627.57311352719,0.516110721708503,0.160035396969774,0.000120494120336029,0.00189038754635272
"ENSG00000011422",367.285803962126,-0.51383505073671,0.153978728803523,7.28760779219138e-05,0.00126559199099068
"ENSG00000011485",5501.09853720651,-0.214163058593714,0.0702930464099571,0.000922072926316755,0.00957817481731997
"ENSG00000012048",3800.45706883941,-0.427721162099902,0.0787080283261248,7.3628837777567e-09,4.50554938953053e-07
"ENSG00000012660",4238.13417093926,-0.194075028719771,0.0653744182226639,0.00135776074088939,0.012850617405898
"ENSG00000013275",3480.78535604909,0.216352983957304,0.0766220406459578,0.00181170044869945,0.0159285763587849
"ENSG00000013441",3728.38124046112,0.518441926834064,0.0758028688723348,9.38134037772448e-13,1.42224500789502e-10
"ENSG00000014257",104.409628251865,-1.37160872724152,0.299761496896309,2.15591346764741e-07,8.9185202040541e-06
"ENSG00000014914",181.94589830755,-0.396827442939085,0.226823411616329,0.00708629452827678,0.0442315149561727
"ENSG00000015520",104.392539510721,-0.796552719355043,0.249123558814658,7.03096054977533e-05,0.00122862932639272
"ENSG00000018408",1659.74774423881,-0.454335455207503,0.104643284093416,1.57751975186704e-06,4.97218380539162e-05
"ENSG00000019549",131.852855907817,1.05357308190859,0.216499470405602,6.95266099874502e-08,3.29575716301074e-06
