"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003",3525.88347786355,-0.419779604140842,0.0780683035668797,1.53462510575784e-08,4.42838585328702e-07
"ENSG00000000419",1478.25124052691,0.341036029882288,0.114722616854555,0.000745456777927563,0.00486554825265243
"ENSG00000000460",1159.77613645835,-0.247306809102729,0.0808217952168772,0.00095881898464463,0.00599302812575111
"ENSG00000001084",2560.54820399483,-0.269672043725353,0.0935764537514208,0.00144225482564425,0.00842125801257254
"ENSG00000001167",2501.41179738749,-0.288336844994866,0.0649660461853509,3.30017358083193e-06,4.96110728523584e-05
"ENSG00000002016",920.866426182143,-0.272853738263532,0.116281678408143,0.00660361963904428,0.029083587216253
"ENSG00000002330",715.181275205174,-0.402664514826362,0.132423851526433,0.000434952204399234,0.00309191007650432
"ENSG00000002549",1542.39219783954,-0.259654525949484,0.0876464239971073,0.00123064257654421,0.00736011962663497
"ENSG00000002834",2668.73763369347,-0.227085900183151,0.053846656884325,1.2527567111677e-05,0.000154234078269267
"ENSG00000002919",885.764505803011,-0.388660582719116,0.0867294242194629,1.64433314973825e-06,2.70531249770335e-05
"ENSG00000004059",2959.55132641168,-0.28189179119146,0.0746351922517658,6.06382049548761e-05,0.000585422669999715
"ENSG00000004139",298.822836391192,-0.506345091491956,0.195295196017281,0.00111622455251156,0.00679578309091481
"ENSG00000004142",4614.29864407837,-0.344224500201413,0.078856428856357,3.50003281977865e-06,5.19749191865669e-05
"ENSG00000004399",1278.93334082506,0.827812980257177,0.123788666081774,1.81210898017126e-12,1.3000993644013e-10
"ENSG00000004455",7053.25995104811,-0.365005297299184,0.121984798606204,0.00061496122750165,0.00414391000263083
"ENSG00000004779",1826.38042475771,-0.206633531089133,0.0761323635339065,0.0035529575929053,0.0178085915512884
"ENSG00000004799",153.066227347155,0.642488536899693,0.261056822412645,0.00101844140079003,0.00630174842947812
"ENSG00000004897",6591.52174700168,-0.246707810103816,0.0467972834829709,6.4082798833619e-08,1.57579946863046e-06
"ENSG00000005073",600.800552364448,-0.383870843168024,0.0903268436899662,4.78121991863224e-06,6.7808076287889e-05
"ENSG00000005075",903.72397066233,-0.405633475525205,0.123923589193021,0.000201571392929007,0.00160406639131631
"ENSG00000005100",2857.03208817762,-0.357669734209079,0.0603462502184827,8.47739001311304e-10,3.41616410330183e-08
"ENSG00000005175",2388.6379614412,-0.19339866065969,0.0777593231162143,0.00731298381345449,0.0315538418173641
"ENSG00000005187",101.013111743953,0.837059748192226,0.336268145038742,0.000686990551210143,0.00454472826510954
"ENSG00000005243",36.0904646681808,2.5423799581469,1.0456050561612,0.000429290512748506,0.00305717007813699
"ENSG00000005249",1036.25010256813,-0.399542892668992,0.125224940537178,0.000268308822927266,0.00207293493051281
"ENSG00000005339",3458.27599212936,-0.452540097698664,0.0997327982520975,9.62220971874825e-07,1.68457728999521e-05
"ENSG00000005448",660.094434240518,-0.250845184154321,0.107013996891115,0.00765913711172345,0.0327468832575323
"ENSG00000005471",172.931266764924,0.514773812093166,0.362320524404581,0.010456001719869,0.0418949959406489
"ENSG00000005486",1068.1845332545,0.355191835514166,0.11795008822246,0.000620895983748919,0.00417774623857538
"ENSG00000005513",148.15177480267,0.391757888919033,0.219208311705736,0.0108935607178364,0.0433727297786326
"ENSG00000005810",4426.18461431225,-0.416850587795689,0.0904303600372095,6.99587258396034e-07,1.28503502935296e-05
"ENSG00000005882",903.274890265958,-0.383187681137542,0.117591286824766,0.000233726257415893,0.00183205736050718
"ENSG00000005884",439.533582705008,0.521049726546277,0.254576715971827,0.00377414338992367,0.0186728739398181
